arc_length,pressure
0.75344,1.5906
0.75517,1.5904
0.75691,1.5902
0.75864,1.59
0.76037,1.5899
0.7621,1.5897
0.76383,1.5895
0.76557,1.5893
0.7673,1.5892
0.76903,1.589
0.77076,1.5888
0.77249,1.5886
0.77423,1.5885
0.77596,1.5883
0.77769,1.5881
0.77942,1.588
0.78115,1.5878
0.78289,1.5877
0.78462,1.5875
0.78635,1.5873
0.78808,1.5872
0.78982,1.587
0.79155,1.5869
0.79328,1.5867
0.79501,1.5865
0.79674,1.5864
0.79848,1.5862
0.80021,1.5861
0.80194,1.5859
0.80367,1.5858
0.8054,1.5856
0.80714,1.5855
0.80887,1.5853
0.8106,1.5852
0.81233,1.585
0.81406,1.5849
0.8158,1.5847
0.81753,1.5846
0.81926,1.5845
0.82099,1.5843
0.82272,1.5842
0.82446,1.584
0.82619,1.5839
0.82792,1.5837
0.82965,1.5836
0.83138,1.5835
0.83312,1.5833
0.83485,1.5832
0.83658,1.583
0.83831,1.5829
0.84004,1.5827
0.84178,1.5826
0.84351,1.5825
0.84524,1.5823
0.84697,1.5822
0.8487,1.582
0.85044,1.5819
0.85217,1.5818
0.8539,1.5816
0.85563,1.5815
0.85737,1.5814
0.8591,1.5812
0.86083,1.5811
0.86256,1.5809
0.86429,1.5808
0.86603,1.5807
0.86776,1.5805
0.86949,1.5804
0.87122,1.5802
0.87295,1.5801
0.87469,1.58
0.87642,1.5798
0.87815,1.5797
0.87988,1.5795
0.88161,1.5794
0.88335,1.5792
0.88508,1.5791
0.88681,1.579
0.88854,1.5788
0.89027,1.5787
0.89201,1.5785
0.89374,1.5784
0.89547,1.5783
0.8972,1.5781
0.89893,1.578
0.90067,1.5778
0.9024,1.5777
0.90413,1.5775
0.90586,1.5774
0.90759,1.5773
0.90933,1.5771
0.91106,1.577
0.91279,1.5768
0.91452,1.5767
0.91625,1.5766
0.91799,1.5764
0.91972,1.5763
0.92145,1.5761
0.92318,1.576
0.92492,1.5759
0.92665,1.5757
0.92838,1.5756
0.93011,1.5754
0.93184,1.5753
0.93358,1.5752
0.93531,1.575
0.93704,1.5749
0.93877,1.5748
0.9405,1.5746
0.94224,1.5745
0.94397,1.5744
0.9457,1.5742
0.94743,1.5741
0.94916,1.574
0.9509,1.5738
0.95263,1.5737
0.95436,1.5736
0.95609,1.5734
0.95782,1.5733
0.95956,1.5732
0.96129,1.573
0.96302,1.5729
0.96475,1.5728
0.96648,1.5726
0.96822,1.5725
0.96995,1.5724
0.97168,1.5723
0.97341,1.5721
0.97514,1.572
0.97688,1.5719
0.97861,1.5718
0.98034,1.5716
0.98207,1.5715
0.9838,1.5714
0.98554,1.5713
0.98727,1.5712
0.989,1.571
0.99073,1.5709
0.99247,1.5708
0.9942,1.5707
0.99593,1.5706
0.99766,1.5705
0.99939,1.5703
1.0011,1.5702
1.0029,1.5701
1.0046,1.57
1.0063,1.5699
1.0081,1.5698
1.0098,1.5697
1.0115,1.5695
1.0132,1.5694
1.015,1.5693
1.0167,1.5692
1.0184,1.5691
1.0202,1.569
1.0219,1.5689
1.0236,1.5688
1.0254,1.5687
1.0271,1.5686
1.0288,1.5685
1.0306,1.5684
1.0323,1.5683
1.034,1.5682
1.0358,1.5681
1.0375,1.568
1.0392,1.5679
1.041,1.5678
1.0427,1.5677
1.0444,1.5676
1.0462,1.5675
1.0479,1.5674
1.0496,1.5673
1.0514,1.5672
1.0531,1.5671
1.0548,1.567
1.0566,1.5669
1.0583,1.5668
1.06,1.5667
1.0617,1.5666
1.0635,1.5665
1.0652,1.5664
1.0669,1.5663
1.0687,1.5662
1.0704,1.5661
1.0721,1.566
1.0739,1.5659
1.0756,1.5658
1.0773,1.5657
1.0791,1.5657
1.0808,1.5656
1.0825,1.5655
1.0843,1.5654
1.086,1.5653
1.0877,1.5652
1.0895,1.5651
1.0912,1.565
1.0929,1.5649
1.0947,1.5648
1.0964,1.5647
1.0981,1.5646
1.0999,1.5645
1.1016,1.5644
1.1033,1.5643
1.105,1.5642
1.1068,1.5641
1.1085,1.564
1.1102,1.5639
1.112,1.5638
1.1137,1.5637
1.1154,1.5636
1.1172,1.5635
1.1189,1.5634
1.1206,1.5633
1.1224,1.5632
1.1241,1.5631
1.1258,1.563
1.1276,1.5629
1.1293,1.5628
1.131,1.5627
1.1328,1.5626
1.1345,1.5625
1.1362,1.5624
1.138,1.5622
1.1397,1.5621
1.1414,1.562
1.1432,1.5619
1.1449,1.5618
1.1466,1.5617
1.1483,1.5616
1.1501,1.5614
1.1518,1.5613
1.1535,1.5612
1.1553,1.5611
1.157,1.561
1.1587,1.5608
1.1605,1.5607
1.1622,1.5606
1.1639,1.5605
1.1657,1.5603
1.1674,1.5602
1.1691,1.5601
1.1709,1.5599
1.1726,1.5598
1.1743,1.5597
1.1761,1.5595
1.1778,1.5594
1.1795,1.5593
1.1813,1.5591
1.183,1.559
1.1847,1.5588
1.1865,1.5587
1.1882,1.5586
1.1899,1.5584
1.1917,1.5583
1.1934,1.5581
1.1951,1.558
1.1968,1.5578
1.1986,1.5577
1.2003,1.5575
1.202,1.5574
1.2038,1.5572
1.2055,1.5571
1.2072,1.5569
1.209,1.5568
1.2107,1.5566
1.2124,1.5564
1.2142,1.5563
1.2159,1.5561
1.2176,1.5559
1.2194,1.5558
1.2211,1.5556
1.2228,1.5555
1.2246,1.5553
1.2263,1.5551
1.228,1.5549
1.2298,1.5548
1.2315,1.5546
1.2332,1.5544
1.235,1.5543
1.2367,1.5541
1.2384,1.5539
1.2401,1.5537
1.2419,1.5535
1.2436,1.5534
1.2453,1.5532
1.2471,1.553
1.2488,1.5528
1.2505,1.5526
1.2523,1.5524
1.254,1.5523
1.2557,1.5521
1.2575,1.5519
1.2592,1.5517
1.2609,1.5515
1.2627,1.5513
1.2644,1.5511
1.2661,1.5509
1.2679,1.5507
1.2696,1.5505
1.2713,1.5503
1.2731,1.5501
1.2748,1.5499
1.2765,1.5497
1.2783,1.5495
1.28,1.5493
1.2817,1.5491
1.2834,1.5489
1.2852,1.5487
1.2869,1.5485
1.2886,1.5483
1.2904,1.548
1.2921,1.5478
1.2938,1.5476
1.2956,1.5474
1.2973,1.5472
1.299,1.547
1.3008,1.5467
1.3025,1.5465
1.3042,1.5463
1.306,1.5461
1.3077,1.5458
1.3094,1.5456
1.3112,1.5454
1.3129,1.5451
1.3146,1.5449
1.3164,1.5446
1.3181,1.5444
1.3198,1.5441
1.3216,1.5438
1.3233,1.5436
1.325,1.5433
1.3268,1.543
1.3285,1.5427
1.3302,1.5424
1.3319,1.5421
1.3337,1.5417
1.3354,1.5414
1.3371,1.5411
1.3389,1.5407
1.3406,1.5404
1.3423,1.54
1.3441,1.5396
1.3458,1.5392
1.3475,1.5388
1.3493,1.5384
1.351,1.538
1.3527,1.5375
1.3545,1.5371
1.3562,1.5366
1.3579,1.5361
1.3597,1.5356
1.3614,1.5351
1.3631,1.5346
1.3649,1.5341
1.3666,1.5335
1.3683,1.5329
1.3701,1.5323
1.3718,1.5317
1.3735,1.5311
1.3752,1.5305
1.377,1.5298
1.3787,1.5291
1.3804,1.5284
1.3822,1.5277
1.3839,1.527
1.3856,1.5262
1.3874,1.5255
1.3891,1.5247
1.3908,1.5238
1.3926,1.523
1.3943,1.5221
1.396,1.5213
1.3978,1.5203
1.3995,1.5194
1.4012,1.5185
1.403,1.5175
1.4047,1.5165
1.4064,1.5155
1.4082,1.5144
1.4099,1.5133
1.4116,1.5122
1.4134,1.5111
1.4151,1.5099
1.4168,1.5087
1.4185,1.5075
1.4203,1.5063
1.422,1.505
1.4237,1.5037
1.4255,1.5024
1.4272,1.501
1.4289,1.4996
1.4307,1.4982
1.4324,1.4968
1.4341,1.4953
1.4359,1.4938
1.4376,1.4922
1.4393,1.4907
1.4411,1.489
1.4428,1.4874
1.4445,1.4857
1.4463,1.484
1.448,1.4822
1.4497,1.4805
1.4515,1.4786
1.4532,1.4768
1.4549,1.4749
1.4567,1.4729
1.4584,1.471
1.4601,1.4689
1.4619,1.4669
1.4636,1.4648
1.4653,1.4627
1.467,1.4605
1.4688,1.4583
1.4705,1.456
1.4722,1.4537
1.474,1.4514
1.4757,1.449
1.4774,1.4466
1.4792,1.4441
1.4809,1.4416
1.4826,1.4391
1.4844,1.4365
1.4861,1.4338
1.4878,1.4311
1.4896,1.4284
1.4913,1.4256
1.493,1.4228
1.4948,1.4199
1.4965,1.417
1.4982,1.414
1.5,1.411
1.5017,1.4079
1.5034,1.4048
1.5052,1.4016
1.5069,1.3984
1.5086,1.3951
1.5103,1.3918
1.5121,1.3885
1.5138,1.385
1.5155,1.3816
1.5173,1.378
1.519,1.3744
1.5207,1.3708
1.5225,1.3671
1.5242,1.3634
1.5259,1.3596
1.5277,1.3558
1.5294,1.3519
1.5311,1.348
1.5329,1.344
1.5346,1.34
1.5363,1.3359
1.5381,1.3318
1.5398,1.3276
1.5415,1.3233
1.5433,1.319
1.545,1.3147
1.5467,1.3103
1.5485,1.3059
1.5502,1.3014
1.5519,1.2969
1.5536,1.2924
1.5554,1.2878
1.5571,1.2831
1.5588,1.2785
1.5606,1.2738
1.5623,1.269
1.564,1.2643
1.5658,1.2594
1.5675,1.2546
1.5692,1.2497
1.571,1.2447
1.5727,1.2398
1.5744,1.2348
1.5762,1.2298
1.5779,1.2249
1.5796,1.2199
1.5814,1.2149
1.5831,1.2099
1.5848,1.2049
1.5866,1.1999
1.5883,1.1949
1.59,1.1899
1.5918,1.1849
1.5935,1.1798
1.5952,1.1748
1.597,1.1698
1.5987,1.1648
1.6004,1.1598
1.6021,1.1549
1.6039,1.1501
1.6056,1.1453
1.6073,1.1405
1.6091,1.1358
1.6108,1.1312
1.6125,1.1266
1.6143,1.122
1.616,1.1175
1.6177,1.1131
1.6195,1.1087
1.6212,1.1044
1.6229,1.1001
1.6247,1.0959
1.6264,1.0918
1.6281,1.0877
1.6299,1.0838
1.6316,1.08
1.6333,1.0763
1.6351,1.0727
1.6368,1.0691
1.6385,1.0657
1.6403,1.0624
1.642,1.0591
1.6437,1.056
1.6454,1.0529
1.6472,1.0499
1.6489,1.047
1.6506,1.0442
1.6524,1.0416
1.6541,1.039
1.6558,1.0365
1.6576,1.0341
1.6593,1.0319
1.661,1.0297
1.6628,1.0276
1.6645,1.0257
1.6662,1.0238
1.668,1.022
1.6697,1.0203
1.6714,1.0186
1.6732,1.0171
1.6749,1.0156
1.6766,1.0143
1.6784,1.013
1.6801,1.0118
1.6818,1.0106
1.6836,1.0096
1.6853,1.0086
1.687,1.0077
1.6887,1.0068
1.6905,1.006
1.6922,1.0053
1.6939,1.0047
1.6957,1.004
1.6974,1.0035
1.6991,1.003
1.7009,1.0025
1.7026,1.0021
1.7043,1.0018
1.7061,1.0015
1.7078,1.0012
1.7095,1.001
1.7113,1.0008
1.713,1.0006
1.7147,1.0004
1.7165,1.0003
1.7182,1.0002
1.7199,1.0001
1.7217,1.0001
1.7234,1.0001
1.7251,1.0
1.7269,1.0
1.7286,1.0
1.7303,1.0
1.7321,1.0
