arc_length,pressure
0.571,0.041325
0.572,0.041352
0.573,0.041379
0.574,0.041407
0.575,0.041434
0.576,0.041461
0.577,0.041489
0.578,0.041516
0.579,0.041543
0.58,0.04157
0.581,0.041598
0.582,0.041631
0.583,0.041668
0.584,0.041706
0.585,0.041743
0.586,0.041781
0.587,0.041818
0.588,0.041855
0.589,0.041893
0.59,0.04193
0.591,0.041967
0.592,0.042005
0.593,0.042042
0.594,0.042079
0.595,0.042117
0.596,0.042154
0.597,0.042191
0.598,0.042229
0.599,0.042266
0.6,0.042303
0.601,0.042341
0.602,0.042378
0.603,0.042415
0.604,0.042453
0.605,0.042494
0.606,0.042542
0.607,0.042591
0.608,0.042639
0.609,0.042687
0.61,0.042735
0.611,0.042784
0.612,0.042832
0.613,0.04288
0.614,0.042929
0.615,0.042977
0.616,0.043025
0.617,0.043073
0.618,0.043122
0.619,0.04317
0.62,0.043218
0.621,0.043267
0.622,0.043315
0.623,0.043363
0.624,0.043411
0.625,0.04346
0.626,0.043508
0.627,0.043556
0.628,0.043606
0.629,0.043666
0.63,0.043726
0.631,0.043787
0.632,0.043847
0.633,0.043907
0.634,0.043967
0.635,0.044028
0.636,0.044088
0.637,0.044148
0.638,0.044209
0.639,0.044269
0.64,0.044329
0.641,0.044389
0.642,0.04445
0.643,0.04451
0.644,0.04457
0.645,0.04463
0.646,0.044691
0.647,0.044751
0.648,0.044811
0.649,0.044872
0.65,0.044932
0.651,0.044992
0.652,0.045063
0.653,0.045137
0.654,0.04521
0.655,0.045284
0.656,0.045357
0.657,0.04543
0.658,0.045504
0.659,0.045577
0.66,0.045651
0.661,0.045724
0.662,0.045798
0.663,0.045871
0.664,0.045944
0.665,0.046018
0.666,0.046091
0.667,0.046165
0.668,0.046238
0.669,0.046312
0.67,0.046385
0.671,0.046458
0.672,0.046532
0.673,0.046605
0.674,0.046679
0.675,0.04676
0.676,0.046848
0.677,0.046936
0.678,0.047023
0.679,0.047111
0.68,0.047199
0.681,0.047286
0.682,0.047374
0.683,0.047462
0.684,0.047549
0.685,0.047637
0.686,0.047725
0.687,0.047812
0.688,0.0479
0.689,0.047988
0.69,0.048075
0.691,0.048163
0.692,0.048251
0.693,0.048338
0.694,0.048426
0.695,0.048514
0.696,0.048601
0.697,0.048689
0.698,0.048781
0.699,0.048884
0.7,0.048986
0.701,0.049088
0.702,0.049191
0.703,0.049293
0.704,0.049395
0.705,0.049497
0.706,0.0496
0.707,0.049702
0.708,0.049804
0.709,0.049907
0.71,0.050009
0.711,0.050111
0.712,0.050213
0.713,0.050316
0.714,0.050418
0.715,0.05052
0.716,0.050623
0.717,0.050725
0.718,0.050827
0.719,0.05093
0.72,0.051032
0.721,0.051135
0.722,0.051247
0.723,0.051358
0.724,0.05147
0.725,0.051582
0.726,0.051694
0.727,0.051806
0.728,0.051917
0.729,0.052029
0.73,0.052141
0.731,0.052253
0.732,0.052365
0.733,0.052476
0.734,0.052588
0.735,0.0527
0.736,0.052812
0.737,0.052924
0.738,0.053036
0.739,0.053147
0.74,0.053259
0.741,0.053371
0.742,0.053483
0.743,0.053595
0.744,0.053706
0.745,0.0538
0.746,0.053889
0.747,0.053978
0.748,0.054067
0.749,0.054156
0.75,0.054245
0.751,0.054334
0.752,0.054423
0.753,0.054512
0.754,0.054601
0.755,0.05469
0.756,0.054779
0.757,0.054868
0.758,0.054957
0.759,0.055046
0.76,0.055135
0.761,0.055224
0.762,0.055313
0.763,0.055402
0.764,0.055491
0.765,0.05558
0.766,0.055669
0.767,0.055758
0.768,0.055823
0.769,0.055868
0.77,0.055913
0.771,0.055958
0.772,0.056002
0.773,0.056047
0.774,0.056092
0.775,0.056137
0.776,0.056182
0.777,0.056227
0.778,0.056272
0.779,0.056317
0.78,0.056362
0.781,0.056407
0.782,0.056452
0.783,0.056497
0.784,0.056542
0.785,0.056587
0.786,0.056632
0.787,0.056677
0.788,0.056721
0.789,0.056766
0.79,0.056811
0.791,0.056841
0.792,0.056836
0.793,0.056831
0.794,0.056826
0.795,0.056821
0.796,0.056816
0.797,0.056811
0.798,0.056806
0.799,0.056801
0.8,0.056795
0.801,0.05679
0.802,0.056785
0.803,0.05678
0.804,0.056775
0.805,0.05677
0.806,0.056765
0.807,0.05676
0.808,0.056755
0.809,0.05675
0.81,0.056745
0.811,0.05674
0.812,0.056735
0.813,0.05673
0.814,0.056723
0.815,0.056678
0.816,0.056633
0.817,0.056588
0.818,0.056543
0.819,0.056498
0.82,0.056453
0.821,0.056408
0.822,0.056363
0.823,0.056318
0.824,0.056273
0.825,0.056228
0.826,0.056183
0.827,0.056138
0.828,0.056093
0.829,0.056048
0.83,0.056003
0.831,0.055958
0.832,0.055913
0.833,0.055868
0.834,0.055823
0.835,0.055778
0.836,0.055733
0.837,0.055688
0.838,0.055624
0.839,0.055556
0.84,0.055487
0.841,0.055419
0.842,0.05535
0.843,0.055281
0.844,0.055213
0.845,0.055144
0.846,0.055076
0.847,0.055007
0.848,0.054938
0.849,0.05487
0.85,0.054801
0.851,0.054733
0.852,0.054664
0.853,0.054596
0.854,0.054527
0.855,0.054458
0.856,0.05439
0.857,0.054321
0.858,0.054253
0.859,0.054184
0.86,0.054116
0.861,0.054036
0.862,0.053946
0.863,0.053857
0.864,0.053768
0.865,0.053678
0.866,0.053589
0.867,0.053499
0.868,0.05341
0.869,0.05332
0.87,0.053231
0.871,0.053142
0.872,0.053052
0.873,0.052963
0.874,0.052873
0.875,0.052784
0.876,0.052694
0.877,0.052605
0.878,0.052516
0.879,0.052426
0.88,0.052337
0.881,0.052247
0.882,0.052158
0.883,0.052068
0.884,0.051982
0.885,0.051903
0.886,0.051825
0.887,0.051746
0.888,0.051667
0.889,0.051589
0.89,0.05151
0.891,0.051431
0.892,0.051352
0.893,0.051274
0.894,0.051195
0.895,0.051116
0.896,0.051038
0.897,0.050959
0.898,0.05088
0.899,0.050802
0.9,0.050723
0.901,0.050644
0.902,0.050566
0.903,0.050487
0.904,0.050408
0.905,0.05033
0.906,0.050251
0.907,0.050173
0.908,0.050111
0.909,0.050049
0.91,0.049987
0.911,0.049925
0.912,0.049864
0.913,0.049802
0.914,0.04974
0.915,0.049678
0.916,0.049616
0.917,0.049555
0.918,0.049493
0.919,0.049431
0.92,0.049369
0.921,0.049308
0.922,0.049246
0.923,0.049184
0.924,0.049122
0.925,0.04906
0.926,0.048999
0.927,0.048937
0.928,0.048875
0.929,0.048813
0.93,0.048751
0.931,0.048703
0.932,0.048659
0.933,0.048615
0.934,0.048571
0.935,0.048527
0.936,0.048483
0.937,0.048439
0.938,0.048395
0.939,0.04835
0.94,0.048306
0.941,0.048262
0.942,0.048218
0.943,0.048174
0.944,0.04813
0.945,0.048086
0.946,0.048042
0.947,0.047998
0.948,0.047954
0.949,0.04791
0.95,0.047865
0.951,0.047821
0.952,0.047777
0.953,0.047733
0.954,0.047698
0.955,0.047672
0.956,0.047645
0.957,0.047619
0.958,0.047593
0.959,0.047566
0.96,0.04754
0.961,0.047513
0.962,0.047487
0.963,0.047461
0.964,0.047434
0.965,0.047408
0.966,0.047381
0.967,0.047355
0.968,0.047329
0.969,0.047302
0.97,0.047276
0.971,0.047249
0.972,0.047223
0.973,0.047197
0.974,0.04717
0.975,0.047144
0.976,0.047117
0.977,0.047096
0.978,0.047087
0.979,0.047078
0.98,0.047069
0.981,0.04706
0.982,0.047052
0.983,0.047043
0.984,0.047034
0.985,0.047025
0.986,0.047016
0.987,0.047008
0.988,0.046999
0.989,0.04699
0.99,0.046981
0.991,0.046972
0.992,0.046964
0.993,0.046955
0.994,0.046946
0.995,0.046937
0.996,0.046929
0.997,0.04692
0.998,0.046911
0.999,0.046902
1.0,0.046893
